Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,633.474976,633.950012,630.0,632.075012,528.698792,509580.0
2013-01-02,633.5,636.200012,627.775024,631.650024,528.343079,1880246.0
2013-01-03,632.5,642.0,629.974976,640.299988,535.578613,2635130.0
2013-01-04,642.5,650.5,640.450012,649.599976,543.357483,5228760.0
2013-01-07,650.0,652.0,645.125,647.424988,541.538147,1820752.0
2013-01-08,647.5,652.150024,647.150024,650.125,543.796753,2341870.0
2013-01-09,650.5,653.700012,636.575012,638.299988,533.905701,3135898.0
2013-01-10,639.950012,641.049988,627.650024,629.200012,526.293945,4522838.0
2013-01-11,645.0,661.25,645.0,653.174988,546.347839,7805006.0
2013-01-14,659.5,674.224976,653.674988,667.25,558.120972,5790224.0
2013-01-15,695.0,700.0,663.5,668.724976,559.354614,8262978.0
2013-01-16,668.450012,677.5,654.5,673.875,563.662354,4109492.0
2013-01-17,674.849976,685.900024,671.5,681.0,569.62207,3028544.0
2013-01-18,681.25,683.025024,669.025024,675.5,565.021667,1440470.0
2013-01-21,676.25,677.450012,663.549988,665.0,556.238892,1260038.0
2013-01-22,663.0,665.849976,654.049988,658.75,551.011047,1386630.0
2013-01-23,657.875,661.875,649.200012,655.974976,549.942078,1877654.0
2013-01-24,652.5,668.450012,652.5,664.275024,556.900391,3498470.0
2013-01-25,661.875,672.5,661.875,670.25,561.90979,1521100.0
2013-01-28,670.150024,674.974976,668.974976,672.525024,563.817139,2428154.0
2013-01-29,670.599976,678.275024,670.150024,672.474976,563.775146,1731804.0
2013-01-30,670.5,674.924988,667.900024,673.075012,564.278076,2279144.0
2013-01-31,674.424988,676.224976,663.200012,672.075012,563.439697,4313168.0
2013-02-01,672.0,676.0,671.075012,674.049988,565.095276,1484540.0
2013-02-04,674.5,683.900024,672.575012,678.174988,568.553589,2487304.0
2013-02-05,672.549988,682.5,672.549988,680.025024,570.104736,2161994.0
2013-02-06,681.25,687.950012,681.0,685.275024,574.506165,3573706.0
2013-02-07,680.5,695.0,680.5,693.575012,581.464417,2612782.0
2013-02-08,693.0,718.5,692.549988,711.299988,596.324341,6973618.0
2013-02-11,712.0,714.450012,706.125,707.349976,593.012695,2312126.0
2013-02-12,704.525024,707.5,700.924988,705.025024,591.063538,2225502.0
2013-02-13,704.900024,720.825012,702.549988,717.700012,601.689819,3822666.0
2013-02-14,715.049988,727.900024,714.5,723.849976,606.84552,2946958.0
